date_ech;valeur
2019-05-05T02:00:00+02:00;4
2019-05-21T02:00:00+02:00;4
2019-05-25T02:00:00+02:00;4
2019-06-09T02:00:00+02:00;3
2019-06-10T02:00:00+02:00;4
2019-06-16T02:00:00+02:00;3
2019-06-19T02:00:00+02:00;4
2019-09-23T02:00:00+02:00;3
2019-09-28T02:00:00+02:00;3
2019-10-03T02:00:00+02:00;2
2019-10-10T02:00:00+02:00;3
2019-10-14T02:00:00+02:00;3
2018-11-09T01:00:00+01:00;3
2018-11-10T01:00:00+01:00;2
2018-11-12T01:00:00+01:00;3
2018-11-15T01:00:00+01:00;4
2018-11-17T01:00:00+01:00;4
2018-11-23T01:00:00+01:00;7
2018-12-29T01:00:00+01:00;5
2019-01-10T01:00:00+01:00;5
2019-01-15T01:00:00+01:00;3
2019-01-16T01:00:00+01:00;3
2018-01-01T01:00:00+01:00;4
2018-01-02T01:00:00+01:00;3
2018-01-03T01:00:00+01:00;4
2018-01-07T01:00:00+01:00;3
2018-01-15T01:00:00+01:00;3
2018-02-04T01:00:00+01:00;3
2018-02-15T01:00:00+01:00;3
2018-02-16T01:00:00+01:00;5
2018-02-26T01:00:00+01:00;3
2018-03-01T01:00:00+01:00;7
2018-03-09T01:00:00+01:00;3
2018-03-15T01:00:00+01:00;3
2018-08-22T02:00:00+02:00;3
2018-08-29T02:00:00+02:00;3
2018-09-16T02:00:00+02:00;3
2018-09-17T02:00:00+02:00;5
2018-09-19T02:00:00+02:00;4
2018-09-21T02:00:00+02:00;4
2018-09-22T02:00:00+02:00;3
2018-09-25T02:00:00+02:00;4
2018-09-29T02:00:00+02:00;3
2018-10-02T02:00:00+02:00;2
2018-10-13T02:00:00+02:00;3
2018-10-15T02:00:00+02:00;4
2018-10-17T02:00:00+02:00;4
2018-10-21T02:00:00+02:00;7
2018-10-27T02:00:00+02:00;3
2018-10-31T01:00:00+01:00;3
2018-11-01T01:00:00+01:00;2
2018-11-02T01:00:00+01:00;4
2018-11-03T01:00:00+01:00;5
2018-11-04T01:00:00+01:00;5
2018-06-06T02:00:00+02:00;7
2018-06-07T02:00:00+02:00;6
2018-06-08T02:00:00+02:00;6
2018-06-12T02:00:00+02:00;4
